"POOL_ID","LRU_POSITION","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","COMPRESSED","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","39","10","1916","INDEX","0","0","0","168709744","0","91887","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","40","10","1917","INDEX","0","0","0","168717472","0","91889","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","41","0","3877","UNDO_LOG","0","0","0","154839875","0","91889","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","42","10","1918","INDEX","0","0","0","168725200","0","91891","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","43","10","1919","INDEX","0","0","0","168732928","0","91892","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","44","0","3878","UNDO_LOG","0","0","0","154893965","0","91892","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","45","10","1920","INDEX","0","0","0","168740656","0","91894","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","46","10","1921","INDEX","0","0","0","168748384","0","91895","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","47","0","3879","UNDO_LOG","0","0","0","154945968","0","91896","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","48","5","307","INDEX","0","0","0","15543922","0","79069","`employees`.`employees`","PRIMARY","340","15036","0","0","IO_NONE","NULL","133"
"0","49","10","1922","INDEX","0","0","0","168756112","0","91897","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","50","10","1923","INDEX","0","0","0","168763840","0","91898","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","51","0","3880","UNDO_LOG","0","0","0","154997741","0","91899","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","52","0","549","UNDO_LOG","0","0","0","256418522","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","53","0","205","SYSTEM","0","0","0","257827345","0","101576","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
