"POOL_ID","BLOCK_ID","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","PAGE_STATE","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","3171","0","4943","UNDO_LOG","0","3","0","302922611","302922587","174433","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3049"
"0","3172","5","869","INDEX","0","0","0","25500773","0","182095","`employees`.`employees`","PRIMARY","339","15021","0","FILE_PAGE","IO_NONE","1","0"
"0","3173","10","4048","INDEX","0","0","0","236165280","0","174439","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3051"
"0","3174","10","4049","INDEX","0","0","0","236185991","0","174441","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3052"
"0","3175","0","4944","UNDO_LOG","0","3","0","302922587","302922563","174442","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3053"
"0","3176","10","4050","INDEX","0","0","0","236204137","0","174444","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3054"
"0","3177","10","4051","INDEX","0","0","0","236220598","0","174446","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3055"
"0","3178","0","4945","UNDO_LOG","0","3","0","302922563","302922539","174446","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3056"
"0","3179","10","4052","INDEX","0","0","0","236236388","0","174448","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3057"
"0","3180","10","4053","INDEX","0","0","0","236252692","0","174450","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3058"
"0","3181","0","4946","UNDO_LOG","0","3","0","302922539","302922515","174450","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3059"
"0","3182","10","4054","INDEX","0","0","0","236269773","0","174452","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3060"
"0","3183","0","5820","UNDO_LOG","0","3","0","302967267","302967243","182116","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","5985"
"0","3184","10","4055","INDEX","0","0","0","236288751","0","174454","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3062"
"0","3185","0","4947","UNDO_LOG","0","3","0","302922515","302922491","174454","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3063"
"0","3186","10","4056","INDEX","0","0","0","236308684","0","174457","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3064"
"0","3187","10","4057","INDEX","0","0","0","236328173","0","174460","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3065"
"0","3188","10","4058","INDEX","0","0","0","236347557","0","174462","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3067"
"0","3189","0","4949","UNDO_LOG","0","3","0","302922467","302922443","174464","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3068"
"0","3190","10","4059","INDEX","0","0","0","236365103","0","174464","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3069"
"0","3191","10","4060","INDEX","0","0","0","236379837","0","174466","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3070"
"0","3192","0","4950","UNDO_LOG","0","3","0","302922443","302922419","174468","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3071"
"0","3193","10","4061","INDEX","0","0","0","236396327","0","174468","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3072"
"0","3194","5","871","INDEX","0","0","0","25516760","0","182133","`employees`.`employees`","PRIMARY","338","15017","0","FILE_PAGE","IO_NONE","1","0"
"0","3195","10","4062","INDEX","0","0","0","236414404","0","174471","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3074"
"0","3196","0","4951","UNDO_LOG","0","3","0","302922419","302922395","174472","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3075"
"0","3197","10","4063","INDEX","0","0","0","236433236","0","174473","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3076"
"0","3198","10","4064","INDEX","0","0","0","236452217","0","174474","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3077"
"0","3199","0","4952","UNDO_LOG","0","3","0","302922395","302922371","174476","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3078"
"0","3200","10","4065","INDEX","0","0","0","236471697","0","174477","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3079"
"0","3201","10","4066","INDEX","0","0","0","236491912","0","174479","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3080"
"0","3202","0","4953","UNDO_LOG","0","3","0","302922371","302922347","174481","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3081"
"0","3203","10","4067","INDEX","0","0","0","236509718","0","174481","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3082"
"0","3204","10","4068","INDEX","0","0","0","236527654","0","174483","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3083"
"0","3205","5","872","INDEX","0","0","0","25522360","0","182152","`employees`.`employees`","PRIMARY","339","15019","0","FILE_PAGE","IO_NONE","1","0"
"0","3206","0","4954","UNDO_LOG","0","3","0","302922347","302922264","174485","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3085"
"0","3207","10","4069","INDEX","0","0","0","236542549","0","174486","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3086"
"0","3208","10","5797","INDEX","0","0","0","298182836","0","182155","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6011"
"0","3209","10","5798","INDEX","0","0","0","298197970","0","182157","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6012"
"0","3210","0","4955","UNDO_LOG","0","3","0","302924158","302923385","174559","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3089"
"0","3211","10","4070","INDEX","0","0","0","236556331","0","174560","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3090"
"0","3212","10","4071","INDEX","0","0","0","236575810","0","174562","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3091"
"0","3213","0","4956","UNDO_LOG","0","3","0","302924094","302924070","174563","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3092"
"0","3214","10","4072","INDEX","0","0","0","236595568","0","174564","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3093"
"0","3215","0","4966","UNDO_LOG","0","3","0","302923854","302923830","174609","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3126"
