"GRANTEE","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","PRIVILEGE_TYPE","IS_GRANTABLE"
"'mariadb.sys'@'localhost'","def","mysql","global_priv","SELECT","NO"
"'mariadb.sys'@'localhost'","def","mysql","global_priv","DELETE","NO"
