"POOL_ID","BLOCK_ID","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","PAGE_STATE","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","0","10","5467","INDEX","0","0","0","321689868","0","104349","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","1","10","5468","INDEX","0","0","0","321713467","0","104351","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","2","0","5661","UNDO_LOG","0","0","0","313919114","0","104352","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","3","10","5469","INDEX","0","0","0","321737091","0","104352","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","4","10","5470","INDEX","0","0","0","321760892","0","104354","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","5","0","5662","UNDO_LOG","0","0","0","313978898","0","104355","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","6","10","5471","INDEX","0","0","0","321783966","0","104356","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","7","10","5472","INDEX","0","0","0","321807691","0","104358","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","8","0","5663","UNDO_LOG","0","0","0","314038679","0","104359","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","9","10","5474","INDEX","0","0","0","321855446","0","104361","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","10","0","5664","UNDO_LOG","0","0","0","314098484","0","104362","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","11","10","5475","INDEX","0","0","0","321878264","0","104363","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","12","10","5476","INDEX","0","0","0","321901117","0","104365","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","13","0","5665","UNDO_LOG","0","0","0","314158295","0","104366","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","14","10","5477","INDEX","0","0","0","321924329","0","104366","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","15","10","5478","INDEX","0","0","0","321947838","0","104368","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","16","0","5666","UNDO_LOG","0","0","0","314218090","0","104369","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","17","10","5479","INDEX","0","0","0","321970604","0","104370","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","18","10","5480","INDEX","0","0","0","321993887","0","104372","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","19","0","5667","UNDO_LOG","0","0","0","314277876","0","104373","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","20","10","5482","INDEX","0","0","0","322040852","0","104375","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","21","0","5668","UNDO_LOG","0","0","0","314337684","0","104376","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","22","10","5483","INDEX","0","0","0","322063908","0","104377","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","23","10","5484","INDEX","0","0","0","322087078","0","104379","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","24","0","5669","UNDO_LOG","0","0","0","314397474","0","104380","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","25","10","5485","INDEX","0","0","0","322110801","0","104380","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","26","10","5486","INDEX","0","0","0","322134373","0","104382","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","27","0","5670","UNDO_LOG","0","0","0","314457263","0","104384","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","28","10","5487","INDEX","0","0","0","322156873","0","104384","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","29","10","5488","INDEX","0","0","0","322179773","0","104385","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","30","10","5489","INDEX","0","0","0","322203381","0","104387","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","31","10","2705","INDEX","0","0","0","217269359","0","94026","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","2545"
"0","32","0","5672","UNDO_LOG","0","0","0","314572320","0","104390","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","33","10","5491","INDEX","0","0","0","322249664","0","104391","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","34","10","5492","INDEX","0","0","0","322272398","0","104392","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","35","0","5673","UNDO_LOG","0","0","0","314629714","0","104394","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","36","10","5493","INDEX","0","0","0","322295627","0","104394","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","37","10","5494","INDEX","0","0","0","322318743","0","104396","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","38","0","5674","UNDO_LOG","0","0","0","314687115","0","104397","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","39","10","5495","INDEX","0","0","0","322341476","0","104398","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","40","10","5496","INDEX","0","0","0","322364466","0","104399","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","41","0","5675","UNDO_LOG","0","0","0","314744522","0","104400","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","42","10","5497","INDEX","0","0","0","322387875","0","104401","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","43","0","5676","UNDO_LOG","0","0","0","314801913","0","104404","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","44","10","5499","INDEX","0","0","0","322434548","0","104405","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","45","10","5500","INDEX","0","0","0","322457848","0","104406","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","46","0","5677","UNDO_LOG","0","0","0","314859298","0","104407","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","47","10","5501","INDEX","0","0","0","322481305","0","104408","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","48","10","5502","INDEX","0","0","0","322504495","0","104410","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","49","0","5678","UNDO_LOG","0","0","0","314917037","0","104411","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","50","10","5503","INDEX","0","0","0","322526965","0","104412","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","51","10","5504","INDEX","0","0","0","322550016","0","104413","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","52","0","5679","UNDO_LOG","0","0","0","314974437","0","104414","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","53","10","5506","INDEX","0","0","0","322596237","0","104417","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","54","0","5680","UNDO_LOG","0","0","0","315005224","0","104417","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","7201"
"0","55","10","5507","INDEX","0","0","0","328436147","0","104419","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","7201"
"0","56","0","917","UNDO_LOG","0","0","0","315005334","0","0","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","0"
"0","57","0","219","SYSTEM","0","0","0","316997244","0","104481","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","0"
