"ID","USER","HOST","DB","COMMAND","TIME","STATE","INFO","TIME_MS","STAGE","MAX_STAGE","PROGRESS","MEMORY_USED","MAX_MEMORY_USED","EXAMINED_ROWS","QUERY_ID","INFO_BINARY","TID"
"76","root","localhost:38102","NULL","Query","0","Filling schema table","select * from information_schema.PROCESSLIST","0.236","0","0","0.000","95320","95320","0","398","select * from information_schema.PROCESSLIST","1946"
"5","system user","","NULL","Daemon","0","InnoDB purge worker","NULL","0.000","0","0","0.000","25864","25864","0","0","NULL","1937"
"4","system user","","NULL","Daemon","0","InnoDB purge worker","NULL","0.000","0","0","0.000","25864","25864","0","0","NULL","1936"
"3","system user","","NULL","Daemon","0","InnoDB purge worker","NULL","0.000","0","0","0.000","25864","25864","0","0","NULL","1938"
"2","system user","","NULL","Daemon","0","InnoDB shutdown handler","NULL","0.000","0","0","0.000","25864","25864","0","0","NULL","1942"
"1","system user","","NULL","Daemon","0","InnoDB purge coordinator","NULL","0.000","0","0","0.000","25864","25864","0","0","NULL","1935"
