"POOL_ID","BLOCK_ID","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","PAGE_STATE","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","0","9","3913","INDEX","1","0","YES","223559416","0","87354","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","1","9","3912","INDEX","1","0","YES","223528176","0","87353","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","2","9","3911","INDEX","1","0","YES","223497061","0","87352","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","3","9","3910","INDEX","1","0","YES","223465926","0","87351","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","4","0","0","UNKNOWN","0","0","NO","0","0","0","NULL","NULL","0","0","0","NOT_USED","IO_NONE","NO","0"
"0","5","9","3909","INDEX","1","0","YES","223434694","0","87307","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","6","9","3605","INDEX","1","0","YES","213892088","0","86784","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","7","9","3908","INDEX","1","0","YES","223403667","0","87306","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","8","9","3600","INDEX","1","0","YES","213736146","0","86777","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","9","9","3907","INDEX","1","0","YES","223370597","0","87305","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","10","9","3906","INDEX","1","0","YES","223338877","0","87304","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","11","9","3905","INDEX","1","0","YES","223307254","0","87303","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","12","9","3904","INDEX","1","0","YES","223275550","0","87302","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","13","9","3903","INDEX","1","0","YES","223243844","0","87301","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","14","9","3902","INDEX","1","0","YES","223212232","0","87300","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
"0","15","9","3901","INDEX","1","0","YES","223180276","0","87298","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","NO","346"
