"POOL_ID","LRU_POSITION","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","COMPRESSED","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","4769","7","4459","INDEX","1","0","YES","301783012","0","222793","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4770","7","4460","INDEX","1","0","YES","301820940","0","222796","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4771","7","4461","INDEX","1","0","YES","301858719","0","222798","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4772","7","4462","INDEX","1","0","YES","301896631","0","222801","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4773","7","4463","INDEX","1","0","YES","301934426","0","222804","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4774","7","4464","INDEX","1","0","YES","301972338","0","222807","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4775","2","678","INDEX","1","0","YES","40820410","0","194389","`employees`.`employees`","PRIMARY","339","15044","0","NO","IO_NONE","NO","1819"
"0","4776","7","4465","INDEX","1","0","YES","302010133","0","222810","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4777","7","4466","INDEX","1","0","YES","302048045","0","222812","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4778","7","4467","INDEX","1","0","YES","302085840","0","222815","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4779","7","4468","INDEX","1","0","YES","302123752","0","222818","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4780","7","4469","INDEX","1","0","YES","302161547","0","222821","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4781","7","4470","INDEX","1","0","YES","302199459","0","222823","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4782","7","4471","INDEX","1","0","YES","302237254","0","222826","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4783","2","679","INDEX","1","0","YES","40853015","0","194391","`employees`.`employees`","PRIMARY","339","15044","0","NO","IO_NONE","NO","1819"
"0","4784","7","4472","INDEX","1","0","YES","302275166","0","222829","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4785","7","4473","INDEX","1","0","YES","302312945","0","222832","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4786","7","4474","INDEX","1","0","YES","302350873","0","222835","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4787","7","4475","INDEX","1","0","YES","302388652","0","222837","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4788","7","4476","INDEX","1","0","YES","302426855","0","222840","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4789","7","4477","INDEX","1","0","YES","302465230","0","222843","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4790","7","4478","INDEX","1","0","YES","302504378","0","222846","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4791","2","680","INDEX","1","0","YES","40885635","0","194393","`employees`.`employees`","PRIMARY","338","15023","0","NO","IO_NONE","NO","1819"
"0","4792","7","4479","INDEX","1","0","YES","302542774","0","222849","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4793","7","4480","INDEX","1","0","YES","302581053","0","222851","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4794","7","4481","INDEX","1","0","YES","302619449","0","222854","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4795","7","4482","INDEX","1","0","YES","302657728","0","222857","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4796","7","4483","INDEX","1","0","YES","302696124","0","222860","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4797","7","4484","INDEX","1","0","YES","302734403","0","222862","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4798","7","4485","INDEX","1","0","YES","302772799","0","222865","`employees`.`salaries`","PRIMARY","468","14976","0","NO","IO_NONE","NO","1819"
"0","4799","2","681","INDEX","1","0","YES","40918485","0","194395","`employees`.`employees`","PRIMARY","338","15052","0","NO","IO_NONE","NO","1819"
