"RESOURCE_GROUP_NAME","RESOURCE_GROUP_TYPE","RESOURCE_GROUP_ENABLED","VCPU_IDS","THREAD_PRIORITY"
"USR_default","USER","1","0-1","0"
"SYS_default","SYSTEM","1","0-1","0"
