"GRANTEE","TABLE_CATALOG","TABLE_SCHEMA","PRIVILEGE_TYPE","IS_GRANTABLE"
"'mysql.sys'@'localhost'","def","sys","TRIGGER","NO"
"'mysql.session'@'localhost'","def","performance_schema","SELECT","NO"
