"TRIGGER_CATALOG","TRIGGER_SCHEMA","TRIGGER_NAME","EVENT_MANIPULATION","EVENT_OBJECT_CATALOG","EVENT_OBJECT_SCHEMA","EVENT_OBJECT_TABLE","ACTION_ORDER","ACTION_CONDITION","ACTION_STATEMENT","ACTION_ORIENTATION","ACTION_TIMING","ACTION_REFERENCE_OLD_TABLE","ACTION_REFERENCE_NEW_TABLE","ACTION_REFERENCE_OLD_ROW","ACTION_REFERENCE_NEW_ROW","CREATED","SQL_MODE","DEFINER","CHARACTER_SET_CLIENT","COLLATION_CONNECTION","DATABASE_COLLATION"
"def","sys","sys_config_insert_set_user","INSERT","def","sys","sys_config","1","NULL","BEGIN IF @sys.ignore_sys_config_triggers != true AND NEW.set_by IS NULL THEN SET NEW.set_by = USER(); END IF; END","ROW","BEFORE","NULL","NULL","OLD","NEW","2023-09-09 08:53:12.74","","mysql.sys@localhost","utf8","utf8_general_ci","utf8_general_ci"
"def","sys","sys_config_update_set_user","UPDATE","def","sys","sys_config","1","NULL","BEGIN IF @sys.ignore_sys_config_triggers != true AND NEW.set_by IS NULL THEN SET NEW.set_by = USER(); END IF; END","ROW","BEFORE","NULL","NULL","OLD","NEW","2023-09-09 08:53:12.74","","mysql.sys@localhost","utf8","utf8_general_ci","utf8_general_ci"
