"GRANTEE","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","PRIVILEGE_TYPE","IS_GRANTABLE"
"'mysql.session'@'localhost'","def","mysql","user","SELECT","NO"
"'mysql.sys'@'localhost'","def","sys","sys_config","SELECT","NO"
